chtitle,link,published,title,sentiment
Renault hires ex-Mercedes executive Katrin Adt to run Dacia brand,https://finance.yahoo.com/news/renault-hires-ex-mercedes-executive-084917320.html,2025-09-01T08:49:17Z,,
Reliance and Meta to form $100m JV,https://finance.yahoo.com/news/reliance-meta-form-100m-jv-084616725.html,2025-09-01T08:46:16Z,,
"Sterling Faces Hit From Seasonal Headwinds, Fiscal Uncertainty",https://www.wsj.com/finance/currencies/indonesian-rupiah-may-remain-under-pressure-cda5b765?siteid=yhoof2&yptr=yahoo,2025-09-01T08:32:00Z,,
"Global Markets Mixed as Investors Eye U.S. Labor Market Data, Tariff Updates",https://www.wsj.com/finance/stocks/global-markets-mixed-as-investors-eye-u-s-labor-market-data-tariff-updates-a1f6591f?siteid=yhoof2&yptr=yahoo,2025-09-01T08:21:00Z,,
Turkish Economy Picks Up Pace Amid Easing Interest Rates,https://www.wsj.com/economy/turkish-economy-picks-up-pace-amid-easing-interest-rates-dd43c76d?siteid=yhoof2&yptr=yahoo,2025-09-01T07:56:00Z,,
"Oil Stays in Tight Range Amid Russian Supply Risks, Rising OPEC+ Output",https://www.wsj.com/finance/commodities-futures/oil-falls-on-higher-supply-outlook-c399877a?siteid=yhoof2&yptr=yahoo,2025-09-01T07:42:00Z,,
Alibaba Gains $50 Billion Value After AI Progress Fuels Rally,https://finance.yahoo.com/news/alibaba-gains-50-billion-value-070136320.html,2025-09-01T07:01:36Z,,
India's strong economic growth fails to impress equity investors,https://finance.yahoo.com/news/indias-strong-economic-growth-fails-073125205.html,2025-09-01T07:31:25Z,,
France’s Lack of Support to Fiscal Consolidation Is Challenge for Bond Investors,https://www.wsj.com/finance/risk-premium-seen-building-in-long-end-u-s-treasurys-350ce1b6?siteid=yhoof2&yptr=yahoo,2025-09-01T07:25:00Z,,
CapVest to Acquire Majority Stake in Germany’s Stada,https://www.wsj.com/finance/investing/capvest-to-acquire-majority-stake-in-germanys-stada-f66e94ae?siteid=yhoof2&yptr=yahoo,2025-09-01T07:14:00Z,,
"Indonesia’s Political Unrest Roils Stock, Currency Markets",https://www.wsj.com/finance/indonesias-political-unrest-roils-stock-currency-markets-21ed6810?siteid=yhoof2&yptr=yahoo,2025-09-01T06:36:00Z,,
"If You Had Invested $10,000 in Palantir at the Start of the Year, Here's How Much You'd Have Now",https://finance.yahoo.com/news/had-invested-10-000-palantir-083000595.html,2025-09-01T08:30:00Z,,
Equinor to Subscribe for Orsted Shares Worth Up to $939 Million in Rights Issue,https://www.wsj.com/business/energy-oil/equinor-to-subscribe-for-orsted-shares-worth-up-to-939-million-in-rights-issue-420bd120?siteid=yhoof2&yptr=yahoo,2025-09-01T06:20:00Z,,
'We haven't seen the worst of it': Retailers warn tariff impacts are far from over,https://finance.yahoo.com/news/we-havent-seen-the-worst-of-it-retailers-warn-tariff-impacts-are-far-from-over-144106268.html,2025-08-31T14:41:06Z,,
"House-rich, cash-poor homeowners are tapping their record-high equity to cut their debts",https://finance.yahoo.com/news/house-rich-cash-poor-homeowners-are-tapping-their-record-high-equity-to-cut-their-debts-144134222.html,2025-08-31T14:41:34Z,,
August jobs report due out as Fed uncertainty looms: What to watch this week,https://finance.yahoo.com/news/august-jobs-report-due-out-as-fed-uncertainty-looms-what-to-watch-this-week-125350194.html,2025-08-31T12:53:50Z,,
European Stocks Bounce Back From Tech-Driven Slump: Markets Wrap,https://finance.yahoo.com/news/european-stocks-bounce-back-tech-073600769.html,2025-09-01T08:21:38Z,,
"OpenAI plans India data center with at least 1 gigawatt capacity, Bloomberg News reports",https://finance.yahoo.com/news/openai-plans-india-data-center-060235249.html,2025-09-01T06:02:35Z,,
You Think Tesla Sales Are Weak Now? Just Wait.,https://www.barrons.com/articles/tesla-stock-price-ev-sales-e85f0362?siteid=yhoof2&yptr=yahoo,2025-09-01T06:00:00Z,,
Analysts Lift Pagaya (PGY) Price Targets Following Record Q2 2025 Performance,https://finance.yahoo.com/news/analysts-lift-pagaya-pgy-price-050502949.html,2025-09-01T05:05:02Z,,
Women CFOs outperform benchmarks and drive innovation: OneStream,https://finance.yahoo.com/news/women-cfos-outperform-benchmarks-drive-090511621.html,2025-09-01T09:05:11Z,,
The 4% rule is now the 4.7% rule. That matters for your retirement.,https://finance.yahoo.com/news/4-rule-now-4-7-090210954.html,2025-09-01T09:02:10Z,,
"3 Stocks That Could Join the $3 Trillion Club Alongside Apple, Microsoft, and Nvidia",https://finance.yahoo.com/news/3-stocks-could-join-3-084400782.html,2025-09-01T08:44:00Z,,
Bitcoin is getting boring. That could open more doors for the crypto asset on Wall Street.,https://finance.yahoo.com/news/bitcoin-is-getting-boring-that-could-open-more-doors-for-the-crypto-asset-on-wall-street-091231252.html,2025-09-01T09:12:31Z,,
Gazprom reports 6% decrease in net profit to $12bn for H1 2025,https://finance.yahoo.com/news/gazprom-reports-6-decrease-net-091040707.html,2025-09-01T09:10:40Z,,
Fenix secures rights to Weld Range iron ore project in Australia,https://finance.yahoo.com/news/fenix-secures-rights-weld-range-090312242.html,2025-09-01T09:03:12Z,,
"Ocado Retail opens new distribution spoke in Nottingham, UK",https://finance.yahoo.com/news/ocado-retail-opens-distribution-spoke-092755435.html,2025-09-01T09:27:55Z,,
SPP offers feedback on FCA’s new consumer support strategy,https://finance.yahoo.com/news/spp-offers-feedback-fca-consumer-092556026.html,2025-09-01T09:25:56Z,,
Gap posts flat net sales in second quarter 2025,https://finance.yahoo.com/news/gap-posts-flat-net-sales-092359761.html,2025-09-01T09:23:59Z,,
"OpenAI plans India data center with at least 1 gigawatt capacity, Bloomberg News reports",https://finance.yahoo.com/news/openai-plans-india-data-center-060235364.html,2025-09-01T06:02:35Z,,
Russian miner Mechel makes production cuts amid deepening losses,https://finance.yahoo.com/news/russian-miner-mechel-makes-production-092834725.html,2025-09-01T09:28:34Z,,
"European Stocks Rise, Japan Shares Slide as Tech Selloff Drags On",https://www.barrons.com/articles/stock-market-today-1794884a?siteid=yhoof2&yptr=yahoo,2025-09-01T09:04:00Z,,
"Wyoming State Buys European Bank Stocks, Adjusts Healthcare Holdings",https://www.barrons.com/articles/wyoming-european-bank-stocks-healthcare-73630db8?siteid=yhoof2&yptr=yahoo,2025-09-01T08:00:00Z,,
IAG finalises acquisition of RACQ insurance underwriting unit,https://finance.yahoo.com/news/iag-finalises-acquisition-racq-insurance-094723089.html,2025-09-01T09:47:23Z,,
BRC names new chair to drive advocacy amid UK policy changes,https://finance.yahoo.com/news/brc-names-chair-drive-advocacy-094704966.html,2025-09-01T09:47:04Z,,
Former Credit Suisse executives reach settlement in risk management lawsuit,https://finance.yahoo.com/news/former-credit-suisse-executives-reach-115100996.html,2025-09-01T11:51:00Z,,
My dad gave me $50K for the offer on my 1st home — now he wants it back. Do I say no or risk losing the house?,https://finance.yahoo.com/news/dad-gave-50k-offer-1st-114500061.html,2025-09-01T11:45:00Z,,
Cost for family of 4 to live comfortably in US up nearly $10K in 2025. Are you keeping up or just getting by?,https://finance.yahoo.com/news/cost-family-4-live-comfortably-110000091.html,2025-09-01T11:00:00Z,,
BYD Stock Plummets. How China’s EV Price War Tanked Tesla Rival’s Earnings.,https://www.barrons.com/articles/byd-earnings-stock-price-tesla-bb21c746?siteid=yhoof2&yptr=yahoo,2025-09-01T10:58:00Z,,
Eternal explores changes to Zomato’s commission structure for restaurants,https://finance.yahoo.com/news/eternal-explores-changes-zomato-commission-114442407.html,2025-09-01T11:44:42Z,,
Is now a good time to buy a house?,https://finance.yahoo.com/personal-finance/mortgages/article/is-it-a-good-time-to-buy-a-house-202100449.html,2024-01-26T22:46:12Z,,
Best home equity loan lenders this month,https://finance.yahoo.com/personal-finance/mortgages/article/best-home-equity-loan-lenders-223817340.html,2025-02-27T22:38:17Z,,
When is the Fed's next meeting?,https://finance.yahoo.com/personal-finance/banking/article/when-is-the-next-fed-meeting-150709150.html,2024-06-06T15:07:09Z,,
Best low- and no-down-payment mortgage lenders of 2025,https://finance.yahoo.com/personal-finance/mortgages/article/best-low-and-no-down-payment-mortgage-lenders-170121918.html,2024-12-30T17:01:21Z,,
bolttech expands into Kenya with LOOP partnership,https://finance.yahoo.com/news/bolttech-expands-kenya-loop-partnership-114307255.html,2025-09-01T11:43:07Z,,
Best cash-out refinance mortgage lenders of 2025,https://finance.yahoo.com/personal-finance/mortgages/article/best-cash-out-refinance-lenders-134200722.html,2024-11-01T13:42:00Z,,
The best online mortgage lenders right now,https://finance.yahoo.com/personal-finance/mortgages/article/best-online-mortgage-lenders-192422027.html,2024-12-31T19:24:22Z,,
Best FHA loan lenders of September 2025,https://finance.yahoo.com/personal-finance/mortgages/article/best-fha-lenders-164715723.html,2024-05-31T16:47:15Z,,
Best USDA loan lenders of September 2025,https://finance.yahoo.com/personal-finance/mortgages/article/best-usda-loan-lenders-184013459.html,2024-08-23T18:40:13Z,,
Kraft Heinz ‘getting close to split announcement’,https://finance.yahoo.com/news/kraft-heinz-getting-close-split-113509840.html,2025-09-01T11:35:09Z,,
Best mortgage lenders for first-time home buyers of September 2025,https://finance.yahoo.com/personal-finance/mortgages/article/best-mortgage-lenders-first-time-buyers-202829998.html,2024-02-21T20:28:29Z,,
Best reverse mortgage companies of September 2025,https://finance.yahoo.com/personal-finance/mortgages/article/best-reverse-mortgage-companies-161204700.html,2025-03-18T16:12:04Z,,
Best mortgage refinance lenders right now,https://finance.yahoo.com/personal-finance/mortgages/article/best-mortgage-refinance-lenders-161445533.html,2024-09-25T16:14:45Z,,
The best HELOC lenders right now,https://finance.yahoo.com/personal-finance/mortgages/article/best-heloc-lenders-223619700.html,2025-02-18T22:36:19Z,,
,https://finance.yahoo.com/news/renault-group-makes-extensive-leadership-120646661.html,2025-09-01T12:06:46Z,Renault Group makes extensive leadership changes,
,https://www.wsj.com/business/corn-and-soybeans-rule-the-american-farm-why-thats-a-growing-problem-in-charts-ca03652f?siteid=yhoof2&yptr=yahoo,2025-09-01T12:00:00Z,"Corn and Soybeans Rule the American Farm. Why That’s a Growing Problem, in Charts",
,https://finance.yahoo.com/news/sumitomo-mitsui-reportedly-inject-1-120444059.html,2025-09-01T12:04:44Z,Sumitomo Mitsui to reportedly inject $1.8bn into India’s Yes Bank,
,https://www.wsj.com/finance/gold-futures-rise-to-record-high-on-fed-concerns-rate-cut-expectations-f0c13a80?siteid=yhoof2&yptr=yahoo,2025-09-01T11:02:00Z,"Gold Futures Rise to Record High on Fed Concerns, Rate-Cut Expectations",
,https://finance.yahoo.com/news/sofico-names-ceo-cto-120435314.html,2025-09-01T12:04:35Z,SOFICO names new CEO and CTO,
,https://www.wsj.com/politics/policy/companies-reap-cash-savings-from-trumps-new-tax-law-6920caf5?siteid=yhoof2&yptr=yahoo,2025-09-01T11:00:00Z,Companies Reap Cash Savings From Trump’s New Tax Law,
,https://www.wsj.com/finance/stocks/gold-prices-hit-new-high-overseas-stocks-rise-a10e926d?siteid=yhoof2&yptr=yahoo,2025-09-01T10:41:00Z,"Gold Prices Hit New High, Overseas Stocks Rise",
,https://www.wsj.com/finance/commodities-futures/gold-steady-prices-may-consolidate-1c670c2c?siteid=yhoof2&yptr=yahoo,2025-09-01T10:31:00Z,Base Metal Prices Mixed in Low-Volume Trading,
,https://finance.yahoo.com/news/verto-launches-api-first-finance-120055739.html,2025-09-01T12:00:55Z,Verto launches API-first finance tool for global transactions,
,https://finance.yahoo.com/news/attributed-autonation-surge-121513592.html,2025-09-01T12:15:13Z,Here’s What Attributed Autonation’s (AN) Surge,
,https://www.investors.com/news/tesla-rivals-xpeng-xiaomi-nio-byd-li-auto-china-ev-sales/?src=A00220&yptr=yahoo,2025-09-01T12:13:20Z,"Tesla Rivals XPeng, Nio Report Record China EV Sales; Xiaomi, Li, BYD Also Out",
,https://finance.yahoo.com/news/m-recent-grad-m-collection-123000395.html,2025-09-01T12:30:00Z,I’m a recent grad and I’m in collection for ‘unpaid’ fraternity dues — which wrecked my credit. What do I do?,
,https://finance.yahoo.com/news/6-things-1-doing-roth-120033352.html,2025-09-01T12:24:07Z,6 Things the 1% Are Doing With Their Roth Accounts (And Why You Should Pay Attention),
,https://finance.yahoo.com/news/why-group-1-automotive-gpi-122142636.html,2025-09-01T12:21:42Z,Here’s Why Group 1 Automotive (GPI) Rose in Q2,
,https://finance.yahoo.com/news/robert-half-rhi-fell-23-121956371.html,2025-09-01T12:19:56Z,Robert Half (RHI) Fell 23.8% in Q2,
,https://finance.yahoo.com/news/thor-industries-tho-surged-q2-121724559.html,2025-09-01T12:17:24Z,Thor Industries (THO) Surged in Q2 Following the Strong Results,
,https://finance.yahoo.com/news/conocophillips-cop-approaching-free-cash-123102711.html,2025-09-01T12:31:02Z,Is ConocoPhillips (COP) Approaching a Free Cash Flow Inflection?,
,https://finance.yahoo.com/news/invest-paccar-pcar-122941709.html,2025-09-01T12:29:41Z,Should You Invest in Paccar (PCAR)?,
,https://finance.yahoo.com/news/xrp-etf-approval-seen-unlock-121250497.html,2025-09-01T12:12:50Z,"XRP ETF approval seen to unlock $5bn bonanza, but ‘people are severely underestimating’ demand, analyst says",
,https://finance.yahoo.com/news/sccm-enhanced-equity-income-fund-123718536.html,2025-09-01T12:37:18Z,SCCM Enhanced Equity Income Fund Purchased Norfolk Southern (NSC) in Q2,
,https://finance.yahoo.com/news/makes-ppg-industries-ppg-attractive-123507852.html,2025-09-01T12:35:07Z,What Makes PPG Industries (PPG) an Attractive Investment Opportunity?,
,https://finance.yahoo.com/news/why-chevron-cvx-traded-lower-124320645.html,2025-09-01T12:43:20Z,Here’s Why Chevron (CVX) Traded Lower in Q2,
,https://finance.yahoo.com/news/johnson-controls-jci-valuation-surged-124126497.html,2025-09-01T12:41:26Z,Johnson Controls’ (JCI) Valuation Surged Sharply in Q2,
,https://finance.yahoo.com/news/sccm-enhanced-equity-income-fund-123934812.html,2025-09-01T12:39:34Z,SCCM Enhanced Equity Income Fund Sold Dow (DOW) Amid Prolonged Market Weakness and Uncertain Recovery,
,https://finance.yahoo.com/news/tariffs-always-hurt-stock-market-123507799.html,2025-09-01T12:35:07Z,Do Tariffs Always Hurt the Stock Market? 3 Experts Take On This Economic Myth,
,https://finance.yahoo.com/news/lyondellbasell-industries-n-v-lyb-125329362.html,2025-09-01T12:53:29Z,LyondellBasell Industries N.V. (LYB) Sold Off Heavily Due to the Tariff Turmoil,
,https://finance.yahoo.com/news/stock-market-fate-comes-down-234609672.html,2025-08-31T23:46:09Z,Stock Market’s Fate Comes Down to Next 14 Trading Sessions,
,https://finance.yahoo.com/news/more-investors-rebel-against-european-124816619.html,2025-09-01T12:48:16Z,More investors rebel against European firms' executive pay plans,
,https://finance.yahoo.com/news/why-sccm-enhanced-equity-income-124649948.html,2025-09-01T12:46:49Z,Here’s Why SCCM Enhanced Equity Income Fund Called Away RTX (RTX) in Q2,
,https://finance.yahoo.com/news/roberts-bakery-plans-close-uk-124849664.html,2025-09-01T12:48:49Z,Roberts Bakery plans to close UK factory,
,https://finance.yahoo.com/news/summer-stablecoins-3-things-investors-123000333.html,2025-09-01T12:30:00Z,It's the Summer of Stablecoins. 3 Things Investors Need to Know.,
,https://finance.yahoo.com/news/hayden-capital-review-smartrent-smrt-130649942.html,2025-09-01T13:06:49Z,Hayden Capital’s Review on SmartRent (SMRT),
,https://finance.yahoo.com/news/saving-150-month-takes-retire-130000093.html,2025-09-01T13:00:00Z,Is saving $150/month all it takes to retire a millionaire? The Ramsey Show says yes — but there’s a catch,
,https://www.barrons.com/articles/stock-markets-summer-boost-fed-rates-7bce37c4?siteid=yhoof2&yptr=yahoo,2025-09-01T12:41:00Z,Stock Markets Had a Glorious Summer. Why That May Not Last.,
,https://finance.yahoo.com/news/best-stock-buy-now-siriusxm-124500838.html,2025-09-01T12:45:00Z,Best Stock to Buy Right Now: SiriusXM vs. Apple,
,https://finance.yahoo.com/news/youd-invested-10-000-verizon-124300877.html,2025-09-01T12:43:00Z,"If You'd Invested $10,000 in Verizon Stock 10 Years Ago, Here's How Much You'd Have Today",
,https://finance.yahoo.com/news/does-alpha-teknova-tkno-meaningful-131755557.html,2025-09-01T13:17:55Z,Does Alpha Teknova (TKNO) Have Meaningful Growth Opportunities?,
,https://finance.yahoo.com/news/does-agilysys-agys-open-ended-131611632.html,2025-09-01T13:16:11Z,Does Agilysys (AGYS) Have an Open-Ended Growth Trajectory?,
,https://finance.yahoo.com/news/prosper-stars-stripes-long-book-131317866.html,2025-09-01T13:13:17Z,Prosper Stars & Stripes’ Long Book Contributor: Magnite (MGNI),
,https://finance.yahoo.com/news/coinbase-okx-unlock-australia-2-125938821.html,2025-09-01T12:59:38Z,"Coinbase, OKX Unlock Australia’s $2.8 Trillion Pension Pot for Crypto — Bloomberg",
,https://finance.yahoo.com/news/major-uae-real-estate-developer-125740562.html,2025-09-01T12:57:40Z,Major UAE Real Estate Developer RAK Properties to Accept Crypto Payments,
,https://finance.yahoo.com/news/raoul-pal-predicts-4-billion-125657186.html,2025-09-01T12:56:57Z,"Raoul Pal Predicts 4 Billion Crypto Users by 2030, $100T Market Cap — Is It Realistic?",
,https://finance.yahoo.com/news/why-prosper-stars-stripes-sold-132040152.html,2025-09-01T13:20:40Z,Here’s Why Prosper Stars & Stripes Sold Ranpak Holdings Corp. (PACK),
,https://finance.yahoo.com/news/1-stock-grown-over-180-130000251.html,2025-09-01T13:00:00Z,1 Stock That Has Grown By Over 180% in the Past Year. Time to Buy and See the Gains Continue?,
,https://finance.yahoo.com/news/prosper-stars-stripes-exited-helen-133519300.html,2025-09-01T13:35:19Z,Prosper Stars & Stripes Exited Helen of Troy Limited (HELE) After Achieving Solid Returns,
,https://finance.yahoo.com/news/d-wave-quantum-stock-buy-131500158.html,2025-09-01T13:15:00Z,Is D-Wave Quantum Stock a Buy Now?,
,https://finance.yahoo.com/news/trumps-world-liberty-financial-tokens-124254207.html,2025-09-01T12:42:54Z,Trump's World Liberty Financial tokens begin trading,
,https://finance.yahoo.com/news/audi-considers-record-2-million-134334838.html,2025-09-01T13:43:34Z,"Audi considers record 2 million car sales target in strategy revamp, source says",
,https://finance.yahoo.com/news/geopolitical-expert-peter-zeihan-links-131300150.html,2025-09-01T13:13:00Z,Geopolitical expert Peter Zeihan links boomers to US deficits,
,https://finance.yahoo.com/news/azzurri-group-gains-rights-expand-141117159.html,2025-09-01T14:11:17Z,Azzurri Group gains rights to expand Dave’s Hot Chicken in Europe,
,https://finance.yahoo.com/news/where-walmart-stock-5-years-134500306.html,2025-09-01T13:45:00Z,Where Will Walmart Stock Be in 5 Years?,
,https://finance.yahoo.com/news/strategy-qualifies-p-500-inclusion-093743829.html,2025-09-01T09:37:43Z,"Strategy Qualifies for S&P 500, Inclusion Decision Could Come on Friday",neutre
,https://finance.yahoo.com/news/meridian-nova-form-jv-400mw-142720793.html,2025-09-01T14:27:20Z,Meridian and Nova to form JV for 400MW New Zealand solar project,neutre
,https://finance.yahoo.com/news/aldermore-group-names-cfo-143721758.html,2025-09-01T14:37:21Z,Aldermore Group names new CFO,neutre
,https://finance.yahoo.com/news/byd-records-consecutive-monthly-production-144145757.html,2025-09-01T14:41:45Z,BYD records consecutive monthly production drops for first time since 2020,neutre
,https://www.barrons.com/articles/ev-sales-china-tesla-byd-nio-3e18ddfd?siteid=yhoof2&yptr=yahoo,2025-09-01T14:39:00Z,"EV Sales Stay Strong in China. Why Profitability Is a Worry For Tesla, BYD, NIO, Others.",positif
,https://www.barrons.com/articles/samsung-sk-hynix-stock-chip-exports-micron-a7118c47?siteid=yhoof2&yptr=yahoo,2025-09-01T13:36:00Z,"Samsung, SK Hynix Stocks Drop on Export Curbs. What It Means for U.S. Chip Companies.",négatif
,https://finance.yahoo.com/news/uk-court-approves-dundee-precious-145108461.html,2025-09-01T14:51:08Z,UK court approves Dundee Precious Metals’ acquisition of Adriatic Metals,positif
